Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_active_connections_average;azure_active_connections_count;azure_active_connections_maximum;azure_active_connections_minimum;azure_active_connections_total,Active Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_analyze_count_user_tables_average;azure_analyze_count_user_tables_count;azure_analyze_count_user_tables_maximum;azure_analyze_count_user_tables_minimum;azure_analyze_count_user_tables_total,Number of times user only tables have been manually analyzed in this database,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,maximum
azure_autoanalyze_count_user_tables_average;azure_autoanalyze_count_user_tables_count;azure_autoanalyze_count_user_tables_maximum;azure_autoanalyze_count_user_tables_minimum;azure_autoanalyze_count_user_tables_total,Number of times user only tables have been analyzed by the autovacuum daemon in this database,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,maximum
azure_autovacuum_count_user_tables_average;azure_autovacuum_count_user_tables_count;azure_autovacuum_count_user_tables_maximum;azure_autovacuum_count_user_tables_minimum;azure_autovacuum_count_user_tables_total,Number of times user only tables have been vacuumed by the autovacuum daemon in this database,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,maximum
azure_backup_storage_used_average;azure_backup_storage_used_count;azure_backup_storage_used_maximum;azure_backup_storage_used_minimum;azure_backup_storage_used_total,Backup Storage Used,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_blks_hit_average;azure_blks_hit_count;azure_blks_hit_maximum;azure_blks_hit_minimum;azure_blks_hit_total,"Number of times disk blocks were found already in the buffer cache, so that a read was not necessary",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,total
azure_blks_read_average;azure_blks_read_count;azure_blks_read_maximum;azure_blks_read_minimum;azure_blks_read_total,Number of disk blocks read in this database,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,total
azure_client_connections_active_average;azure_client_connections_active_count;azure_client_connections_active_maximum;azure_client_connections_active_minimum;azure_client_connections_active_total,Connections from clients which are associated with a PostgreSQL connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,maximum
azure_client_connections_waiting_average;azure_client_connections_waiting_count;azure_client_connections_waiting_maximum;azure_client_connections_waiting_minimum;azure_client_connections_waiting_total,Connections from clients that are waiting for a PostgreSQL connection to service them,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,maximum
azure_connections_failed_average;azure_connections_failed_count;azure_connections_failed_maximum;azure_connections_failed_minimum;azure_connections_failed_total,Failed Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_connections_succeeded_average;azure_connections_succeeded_count;azure_connections_succeeded_maximum;azure_connections_succeeded_minimum;azure_connections_succeeded_total,Succeeded Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_cpu_credits_consumed_average;azure_cpu_credits_consumed_count;azure_cpu_credits_consumed_maximum;azure_cpu_credits_consumed_minimum;azure_cpu_credits_consumed_total,Total number of credits consumed by the database server,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_credits_remaining_average;azure_cpu_credits_remaining_count;azure_cpu_credits_remaining_maximum;azure_cpu_credits_remaining_minimum;azure_cpu_credits_remaining_total,Total number of credits available to burst,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_percent_average;azure_cpu_percent_count;azure_cpu_percent_maximum;azure_cpu_percent_minimum;azure_cpu_percent_total,CPU percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_deadlocks_average;azure_deadlocks_count;azure_deadlocks_maximum;azure_deadlocks_minimum;azure_deadlocks_total,Number of deadlocks detected in this database,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename,total
azure_disk_bandwidth_consumed_percentage_average;azure_disk_bandwidth_consumed_percentage_count;azure_disk_bandwidth_consumed_percentage_maximum;azure_disk_bandwidth_consumed_percentage_minimum;azure_disk_bandwidth_consumed_percentage_total,Percentage of disk bandwidth consumed per minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_disk_iops_consumed_percentage_average;azure_disk_iops_consumed_percentage_count;azure_disk_iops_consumed_percentage_maximum;azure_disk_iops_consumed_percentage_minimum;azure_disk_iops_consumed_percentage_total,Percentage of disk I/Os consumed per minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_disk_queue_depth_average;azure_disk_queue_depth_count;azure_disk_queue_depth_maximum;azure_disk_queue_depth_minimum;azure_disk_queue_depth_total,Number of outstanding I/O operations to the data disk,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_iops_average;azure_iops_count;azure_iops_maximum;azure_iops_minimum;azure_iops_total,IO Operations per second,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_is_db_alive_average;azure_is_db_alive_count;azure_is_db_alive_maximum;azure_is_db_alive_minimum;azure_is_db_alive_total,Indicates if the database is up or not,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_logical_replication_delay_in_bytes_average;azure_logical_replication_delay_in_bytes_count;azure_logical_replication_delay_in_bytes_maximum;azure_logical_replication_delay_in_bytes_minimum;azure_logical_replication_delay_in_bytes_total,Maximum lag across all logical replication slots,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_longest_query_time_sec_average;azure_longest_query_time_sec_count;azure_longest_query_time_sec_maximum;azure_longest_query_time_sec_minimum;azure_longest_query_time_sec_total,The age in seconds of the longest query that is currently running,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_longest_transaction_time_sec_average;azure_longest_transaction_time_sec_count;azure_longest_transaction_time_sec_maximum;azure_longest_transaction_time_sec_minimum;azure_longest_transaction_time_sec_total,The age in seconds of the longest transaction (including idle transactions),Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_max_connections_average;azure_max_connections_count;azure_max_connections_maximum;azure_max_connections_minimum;azure_max_connections_total,Max connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
