Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_failedacknowledgedevents_average;azure_failedacknowledgedevents_count;azure_failedacknowledgedevents_maximum;azure_failedacknowledgedevents_minimum;azure_failedacknowledgedevents_total,The number of events for which acknowledgements from clients failed.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_eventsubscriptionname;metadata_error;metadata_errortype,total
azure_successfulacknowledgedevents_average;azure_successfulacknowledgedevents_count;azure_successfulacknowledgedevents_maximum;azure_successfulacknowledgedevents_minimum;azure_successfulacknowledgedevents_total,The number of events for which delivery was successfully acknowledged by clients.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_eventsubscriptionname,total
azure_failedpublishedevents_average;azure_failedpublishedevents_count;azure_failedpublishedevents_maximum;azure_failedpublishedevents_minimum;azure_failedpublishedevents_total,"The number of events that weren't accepted by Event Grid. This count excludes events that were published but failed to reach Event Grid due to a network issue, for example.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_error;metadata_errortype,total
azure_successfulpublishedevents_average;azure_successfulpublishedevents_count;azure_successfulpublishedevents_maximum;azure_successfulpublishedevents_minimum;azure_successfulpublishedevents_total,The number of events published successfully to a topic or topic space within a namespace.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic,total
azure_failedreceivedevents_average;azure_failedreceivedevents_count;azure_failedreceivedevents_maximum;azure_failedreceivedevents_minimum;azure_failedreceivedevents_total,The number of events that were requested by clients but weren't delivered successfully by Event Grid.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_eventsubscriptionname;metadata_error;metadata_errortype,total
azure_successfulreceivedevents_average;azure_successfulreceivedevents_count;azure_successfulreceivedevents_maximum;azure_successfulreceivedevents_minimum;azure_successfulreceivedevents_total,The total number of events that were successfully returned to (received by) clients by Event Grid.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_eventsubscriptionname,total
azure_failedreleasedevents_average;azure_failedreleasedevents_count;azure_failedreleasedevents_maximum;azure_failedreleasedevents_minimum;azure_failedreleasedevents_total,The number of events for which release failed.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_eventsubscriptionname;metadata_error;metadata_errortype,total
azure_successfulreleasedevents_average;azure_successfulreleasedevents_count;azure_successfulreleasedevents_maximum;azure_successfulreleasedevents_minimum;azure_successfulreleasedevents_total,The number of events that were released successfully by queue subscriber clients.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_topic;metadata_eventsubscriptionname,total
azure_mqtt.connections_average;azure_mqtt.connections_count;azure_mqtt.connections_maximum;azure_mqtt.connections_minimum;azure_mqtt.connections_total,The number of active connections in the namespace.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protocol,total
azure_mqtt.failedpublishedmessages_average;azure_mqtt.failedpublishedmessages_count;azure_mqtt.failedpublishedmessages_maximum;azure_mqtt.failedpublishedmessages_minimum;azure_mqtt.failedpublishedmessages_total,The number of MQTT messages that failed to be published into the namespace.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_qos;metadata_protocol;metadata_error,total
azure_mqtt.successfulpublishedmessages_average;azure_mqtt.successfulpublishedmessages_count;azure_mqtt.successfulpublishedmessages_maximum;azure_mqtt.successfulpublishedmessages_minimum;azure_mqtt.successfulpublishedmessages_total,The number of  MQTT messages that were published successfully into the namespace.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_qos;metadata_protocol,total
azure_mqtt.failedsubscriptionoperations_average;azure_mqtt.failedsubscriptionoperations_count;azure_mqtt.failedsubscriptionoperations_maximum;azure_mqtt.failedsubscriptionoperations_minimum;azure_mqtt.failedsubscriptionoperations_total,"The number of failed subscription operations (Subscribe, Unsubscribe). This metric is incremented for every topic filter within a subscription request.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protocol;metadata_operationtype;metadata_error,total
azure_mqtt.successfulsubscriptionoperations_average;azure_mqtt.successfulsubscriptionoperations_count;azure_mqtt.successfulsubscriptionoperations_maximum;azure_mqtt.successfulsubscriptionoperations_minimum;azure_mqtt.successfulsubscriptionoperations_total,"The number of successful subscription operations (Subscribe, Unsubscribe). This metric is incremented for every topic filter within a subscription request.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protocol;metadata_operationtype,total
azure_mqtt.failedroutedmessages_average;azure_mqtt.failedroutedmessages_count;azure_mqtt.failedroutedmessages_maximum;azure_mqtt.failedroutedmessages_minimum;azure_mqtt.failedroutedmessages_total,"The number of failed subscription operations (Subscribe, Unsubscribe). This metric is incremented for every topic filter within a subscription request.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_error,total
azure_mqtt.successfulroutedmessages_average;azure_mqtt.successfulroutedmessages_count;azure_mqtt.successfulroutedmessages_maximum;azure_mqtt.successfulroutedmessages_minimum;azure_mqtt.successfulroutedmessages_total,"MQTT: Successful Routed Messages. The number of successful routed messages by the namespace.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
